year,type,title,note,journal,doi,author,ENTRYTYPE,ID
2008,InProceedings,granularity in software product lines,450,Unknown Venue,10.1145/1368088.1368131,Kästner C.,article,RRexportChristianKästner2008
1997,Book,feature-oriented programming: a fresh look at objects,427,LNCS,10.1007/bfb0053389,Prehofer C.,article,RRexportChristianPrehofer1997
2005,Book,11 evaluating coverage based testing,16,LNCS,10.1007/11498490_14,Gaston C.,article,RRexportChristopheGaston2005
2006,Book,symbolic execution techniques for test purpose definition,91,LNCS,10.1007/11754008_1,Gaston C.,article,RRexportChristopheGaston2006
2006,Journal,achieving communication coverage in testing,12,ACM SIGSOFT Software Engineering Notes,10.1145/1218776.1218786,Mallett C.R.,article,RRexportChristopherRobinson-Mallett2006
2008,Book,specification-based verification of embedded systems by automated test case generation,5,IFIP International Federation for Information Processing/IFIP,10.1007/978-0-387-09661-2_4,Kirchsteiger C.M.,article,RRexportChristophM.Kirchsteiger2008
2003,Book,a programming logic for java bytecode programs,23,LNCS,10.1007/10930755_3,Quigley C.L.,article,RRexportClaireL.Quigley2003
1998,Book,towards automatic distribution of testers for distributed conformance testing,30,IFIP advances in information and communication technology,10.1007/978-0-387-35394-4_22,Jard C.,article,RRexportClaudeJard1998
2003,Journal,synthesis of distributed testers from true-concurrency models of reactive systems,16,Information and Software Technology,10.1016/s0950-5849(03)00061-2,Jard C.,article,RRexportClaudeJard2003
1999,Journal,a deadlock detection tool for concurrent java programs,141,Software Practice and Experience,10.1002/(sici)1097-024x(199906)29:7<577::aid-spe246>3.0.co;2-v,Demartini C.,article,RRexportClaudioDemartini1999
2003,Book,the model-checking kit,37,LNCS,10.1007/3-540-44919-1_29,Schröter C.,article,RRexportClausSchröter2003
2007,Book,a systemc/tlm semantics in promela and its possible applications,80,LNCS,10.1007/978-3-540-73370-6_14,Traulsen C.,article,RRexportClausTraulsen2007
2000,Journal,component software: beyond object-oriented programming,13,Unknown Venue,None,Szyperski C.,article,RRexportClemensSzyperski2000
2008,InProceedings,klee: unassisted and automatic generation of high-coverage tests for complex systems programs,2586,Operating Systems Design and Implementation,10.5555/1855741.1855756,Cadar C.,article,RRexportCristianCadar2008
2003,Book,experiments with test case generation and runtime analysis,60,LNCS,10.1007/3-540-36498-6_5,Artho C.,article,RRexportCyrilleArtho2003
2003,Journal,high-level data races,194,Software Testing Verification and Reliability,10.1002/stvr.281,Artho C.,article,RRexportCyrilleArtho2003
2004,Journal,combining test case generation and runtime verification,91,Theoretical Computer Science,10.1016/j.tcs.2004.11.007,Artho C.,article,RRexportCyrilleArtho2004
2008,Book,passive testing of timed systems,25,LNCS,10.1007/978-3-540-88387-6_36,Andrés C.,article,RRexportCésarAndrés2008
2009,InProceedings,passive testing of stochastic timed systems,14,"International Conference on Software Testing, Verification, and Validation",10.1109/icst.2009.35,Andrés C.,article,RRexportCésarAndrés2009
2013,Unknown,verification based on unfoldings of petri nets with read arcs,4,HAL (Le Centre pour la Communication Scientifique Directe),None,Rodríguez C.,article,RRexportCésarRodríguez2013
1997,Journal,composition validation and subjectivity in genvoca generators,175,IEEE Transactions on Software Engineering,10.1109/32.585497,Batory D.,article,RRexportD.Batory1997
2002,InProceedings,automatic generation of tests for timing constraints from requirements,73,Unknown Venue,10.1109/words.1997.609955,Clarke D.,article,RRexportD.Clarke2002
2002,InProceedings,automatic test generation for the analysis of a real-time system: case study,30,Unknown Venue,10.1109/rttas.1997.601349,Clarke D.,article,RRexportD.Clarke2002
1985,Book,on the development of reactive systems,837,Springer eBooks,10.1007/978-3-642-82453-1_17,Harel D.,article,RRexportD.Harel1985
1997,Journal,executable object modeling with statecharts,537,Computer,10.1109/2.596624,Harel D.,article,RRexportD.Harel1997
2006,InProceedings,formal verification of systemc designs using a petri-net based representation,93,Unknown Venue,10.1109/date.2006.244076,Karlsson D.,article,RRexportD.Karlsson2006
2005,InProceedings,formal verification of systemc by automatic hardware/software partitioning,119,Unknown Venue,10.1109/memcod.2005.1487900,Kroening D.,article,RRexportD.Kroening2005
1983,Journal,automatic generation of random self-checking test cases,218,IBM Systems Journal,10.1147/sj.223.0229,Bird D.L.,article,RRexportD.L.Bird1983
1996,Journal,principles and methods of testing finite state machines-a survey,1200,Proceedings of the IEEE,10.1109/5.533956,Lee D.,article,RRexportD.Lee1996
1996,Journal,conformance testing of protocols specified as communicating finite state machines-a guided random walk based approach,89,IEEE Transactions on Communications,10.1109/26.494307,Lee D.,article,RRexportD.Lee1996
2002,InProceedings,conformance testing of protocols specified as communicating fsms,26,Unknown Venue,10.1109/infcom.1993.253242,Lee D.,article,RRexportD.Lee2002
2002,InProceedings,passive testing and applications to network management,117,Unknown Venue,10.1109/icnp.1997.643699,Lee D.,article,RRexportD.Lee2002
2003,InProceedings,a formal approach for passive testing of protocol data portions,66,Unknown Venue,10.1109/icnp.2002.1181393,Lee D.,article,RRexportD.Lee2003
2006,Journal,network protocol system monitoring: a formal approach with passive testing,54,IEEE/ACM Transactions on Networking,10.1109/tnet.2006.872572,Lee D.,article,RRexportD.Lee2006
2002,Journal,a probabilistic extension of uml statecharts: specification and verification,9,CTIT technical report series,None,Jansen D.,article,RRexportD.N.Jansen2002
2004,Journal,software fault interactions and implications for software testing,769,IEEE Transactions on Software Engineering,10.1109/tse.2004.24,Kuhn D.,article,RRexportD.R.Kuhn2004
2011,Book,verification of software product lines with delta-oriented slicing,38,LNCS,10.1007/978-3-642-18070-5_5,Bruns D.,article,RRexportDanielBruns2011
1996,Book,coverage-directed test generation using symbolic techniques,89,LNCS,10.1007/bfb0031805,Geist D.,article,RRexportDanielGeist1996
2005,InProceedings,hw/sw co-verification of a risc cpu using bounded model checking,7,Proceedings,10.1109/mtv.2005.12,Grosse D.,article,RRexportDanielGrosse2005
2004,InProceedings,checkers for systemc designs,27,Unknown Venue,10.1109/memcod.2004.1459851,Große D.,article,RRexportDanielGroße2004
2008,Book,measuring the quality of a systemc testbench by using code coverage techniques,6,Lecture notes in electrical engineering,10.1007/978-1-4020-8297-9_6,Große D.,article,RRexportDanielGroße2008
2006,InProceedings,hw/sw co-verification of embedded systems using bounded model checking,53,Unknown Venue,10.1145/1127908.1127920,Groβe D.,article,RRexportDanielGroβe2006
2003,Book,alloy: a logical modelling language,30,LNCS,10.1007/3-540-44880-2_1,Jackson D.,article,RRexportDanielJackson2003
2009,InProceedings,a verification-centric software development process for java,7,Unknown Venue,10.1109/qsic.2009.18,Zimmerman D.M.,article,RRexportDanielM.Zimmerman2009
2003,Book,external uniqueness is unique enough,169,LNCS,10.1007/978-3-540-45070-2_9,Clarke D.,article,RRexportDaveClarke2003
2010,InProceedings,hats: a formal software product line engineering methodology,8,Formal Methods,None,Clarke D.,article,RRexportDaveClarke2010
2010,InProceedings,abstract delta modeling,106,Unknown Venue,10.1145/1868294.1868298,Clarke D.,article,RRexportDaveClarke2010
2011,Book,modeling spatial and temporal variability with the hats abstract behavioral modeling language,45,LNCS,10.1007/978-3-642-21455-4_13,Clarke D.,article,RRexportDaveClarke2011
2010,Journal,automated analysis of feature models 20 years later: a literature review,1135,Information Systems,10.1016/j.is.2010.01.001,Benavides D.,article,RRexportDavidBenavides2010
2005,Journal,simplify: a theorem prover for program checking,785,Journal of the ACM,10.1145/1066100.1066102,Detlefs D.,article,RRexportDavidDetlefs2005
2009,Book,coinductive type systems for object-oriented languages,34,LNCS,10.1007/978-3-642-03013-0_2,Ancona D.,article,RRexportDavideAncona2009
2009,InProceedings,an idealized coinductive type system for imperative object-oriented programs,0,Italian Conference on Theoretical Computer Science,None,Ancona D.,article,RRexportDavideAncona2009
2011,Journal,idealized coinductive type systems for imperative object-oriented programs,22,RAIRO - Theoretical Informatics and Applications,10.1051/ita/2011009,Ancona D.,article,RRexportDavideAncona2011
